Date,MKPRU,MKPRUPNZ
5/3/2021,-0.040191807,N
4/3/2021,0.043875801,P
3/3/2021,-0.025441958,N
2/3/2021,0.099847453,P
1/3/2021,-0.022574593,N
28/2/2021,-0.00398012,N
27/2/2021,-0.009831322,N
26/2/2021,-0.075544338,N
25/2/2021,0.035687288,P
24/2/2021,-0.09687067,N
23/2/2021,-0.058524704,N
22/2/2021,0.026546931,P
21/2/2021,0.001514759,P
20/2/2021,0.083481969,P
19/2/2021,-0.009786979,N
18/2/2021,0.060173393,P
17/2/2021,0.025197151,P
16/2/2021,-0.0157741,N
15/2/2021,0.032535209,P
14/2/2021,-0.006029104,N
13/2/2021,-0.011288103,N
12/2/2021,0.069860469,P
11/2/2021,-0.03673375,N
10/2/2021,0.004858911,P
9/2/2021,0.191023965,P
8/2/2021,-0.010049014,N
7/2/2021,0.027290698,P
6/2/2021,0.034498592,P
5/2/2021,-0.017893501,N
4/2/2021,0.060416846,P
3/2/2021,0.059862363,P
2/2/2021,0.011662079,P
1/2/2021,-0.034431976,N
31/1/2021,0.000111907,P
30/1/2021,0.027275555,P
29/1/2021,0.098096036,P
28/1/2021,-0.065227799,N
27/1/2021,0.009258989,P
26/1/2021,-0.001040374,N
25/1/2021,0.005517179,P
24/1/2021,-0.027350755,N
23/1/2021,0.071579602,P
22/1/2021,-0.13340563,N
21/1/2021,-0.013357809,N
20/1/2021,-0.016712551,N
19/1/2021,0.02344983,P
18/1/2021,-0.007547165,N
17/1/2021,-0.020726328,N
16/1/2021,-0.059500537,N
15/1/2021,0.047210276,P
14/1/2021,0.099415733,P
13/1/2021,-0.043131878,N
12/1/2021,-0.070479698,N
11/1/2021,-0.049716556,N
10/1/2021,-0.010561283,N
9/1/2021,0.029990599,P
8/1/2021,0.071231709,P
7/1/2021,0.082643618,P
6/1/2021,0.062795009,P
5/1/2021,-0.02926446,N
4/1/2021,0.025013465,P
3/1/2021,0.095316521,P
2/1/2021,0.014187498,P
1/1/2021,0.004365381,P
31/12/2020,0.054069258,P
30/12/2020,0.012563668,P
29/12/2020,0.030103351,P
28/12/2020,-0.007435935,N
27/12/2020,0.070853639,P
26/12/2020,0.041240908,P
25/12/2020,0.019874969,P
24/12/2020,-0.023992455,N
23/12/2020,0.047460419,P
22/12/2020,-0.031719098,N
21/12/2020,-0.015891968,N
20/12/2020,0.031062871,P
19/12/2020,0.013276312,P
18/12/2020,0.068663036,P
17/12/2020,0.099781633,P
16/12/2020,0.008464153,P
15/12/2020,0.005849885,P
14/12/2020,0.019200742,P
13/12/2020,0.042934414,P
12/12/2020,-0.011968592,N
11/12/2020,-0.016513287,N
10/12/2020,0.012843587,P
9/12/2020,-0.044967497,N
8/12/2020,-0.010127642,N
7/12/2020,0.01162095,P
6/12/2020,0.025953791,P
5/12/2020,-0.040301647,N
4/12/2020,0.011835978,P
3/12/2020,0.023118241,P
2/12/2020,-0.046535899,N
1/12/2020,0.083452253,P
30/11/2020,0.025894943,P
29/11/2020,0.034631805,P
28/11/2020,-0.000732883,N
27/11/2020,-0.084758642,N
26/11/2020,-0.022569803,N
25/11/2020,0.042046513,P
24/11/2020,-0.001268573,N
23/11/2020,-0.014838166,N
22/11/2020,0.000658196,P
21/11/2020,0.048644909,P
20/11/2020,0.001242805,P
19/11/2020,0.006715604,P
18/11/2020,0.057073928,P
17/11/2020,0.047406213,P
16/11/2020,-0.007638398,N
15/11/2020,-0.015194013,N
14/11/2020,0.002685392,P
13/11/2020,0.037362854,P
12/11/2020,0.02556695,P
11/11/2020,-0.000749583,N
10/11/2020,-0.010462474,N
9/11/2020,0.043852225,P
8/11/2020,-0.048470194,N
7/11/2020,0.000280924,P
6/11/2020,0.101429894,P
5/11/2020,0.009432866,P
4/11/2020,0.033011741,P
3/11/2020,-0.013352104,N
2/11/2020,-0.003724751,N
1/11/2020,0.018105792,P
31/10/2020,0.007880428,P
30/10/2020,0.01276695,P
29/10/2020,-0.026551719,N
28/10/2020,0.043980095,P
27/10/2020,0.003037562,P
26/10/2020,-0.006984064,N
25/10/2020,0.014209874,P
24/10/2020,-0.003520333,N
23/10/2020,0.012367163,P
22/10/2020,0.075980298,P
21/10/2020,0.014228417,P
20/10/2020,0.021720165,P
19/10/2020,0.012465568,P
18/10/2020,0.00343763,P
17/10/2020,-0.015313294,N
16/10/2020,0.006334352,P
15/10/2020,0.000269508,P
14/10/2020,-0.009688008,N
13/10/2020,0.014365439,P
12/10/2020,0.006541817,P
11/10/2020,0.021646559,P
10/10/2020,0.012806569,P
9/10/2020,0.023662706,P
8/10/2020,0.006324184,P
7/10/2020,-0.017131109,N
6/10/2020,0.010783757,P
5/10/2020,0.011532662,P
4/10/2020,-0.002202352,N
3/10/2020,-0.004160373,N
2/10/2020,-0.014722692,N
1/10/2020,-0.00580031,N
30/9/2020,0.013885654,P
29/9/2020,-0.007602392,N
28/9/2020,0.003898476,P
27/9/2020,0.003699672,P
26/9/2020,-0.00368882,N
25/9/2020,0.048654157,P
24/9/2020,-0.028269444,N
23/9/2020,0.009756041,P
22/9/2020,-0.044799055,N
21/9/2020,-0.014599199,N
20/9/2020,0.013688518,P
19/9/2020,-0.00110564,N
18/9/2020,-0.000414671,N
17/9/2020,0.015095099,P
16/9/2020,0.010396604,P
15/9/2020,0.033285999,P
14/9/2020,-0.011072672,N
13/9/2020,0.004905997,P
