Date,MKPRU,MKPRUPNZN,MKPRUPNZ,MKTCP,TRFEE,TRFUS,NTRAN,NTREP,NTRBL,TOUTV,CPTRA,HRATE,MIREV,AVBLS,TRVOU,LTCPCUSD
28/12/2021,-0.002141882,0,N,0.006586358,0.697204917,0.708309358,0.256700273,0.257017628,0.13782322,0.271625854,-0.111023859,0.104477612,0.117176559,0.248575097,0.148573225,0.0006
27/12/2021,0.006542781,1,P,-0.006725941,-0.068358368,-0.07466582,-0.044412256,-0.044305997,0.048294018,0.021588791,-0.052340179,-0.08731203,-0.094427889,-0.154692812,-0.484716221,-0.012
26/12/2021,-0.006770256,0,N,0.000626153,-0.310376628,-0.314547472,-0.202490741,-0.202955578,-0.180789809,-0.156828992,0.209331446,-0.02459214,-0.04212361,-0.060482011,-0.235183783,-0.0205
25/12/2021,0.000575556,1,P,0.044418719,0.099249306,0.151562781,-0.107039435,-0.107115382,-0.101125789,-0.110480112,0.158339674,-0.006578947,0.038872184,0.101859103,0.476383704,-0.0153
24/12/2021,0.044363833,1,P,-0.006208801,0.011755755,0.009007334,0.011452538,0.011407214,-0.015164634,0.008859158,0.019501065,0.027027027,0.033738989,-0.067183658,-0.387192698,0.0521
23/12/2021,-0.006257744,0,N,0.043202607,-0.087882236,-0.05161467,-0.053223853,-0.053292732,0.029938916,0.175883046,0.008848056,-0.080745342,-0.052826022,0.085981367,0.250944945,0.0039
22/12/2021,0.043155711,1,P,0.004789994,0.081733197,0.090397493,0.141473776,0.14184975,0.020945489,-0.086095472,-0.012472807,0.118055556,0.136732594,-0.110677879,0.434569039,0.0144
21/12/2021,0.004730208,1,P,-0.00367972,0.574760129,0.562522589,0.291352029,0.291760038,0.336190641,0.245949163,-0.257601903,-0.033557047,-0.045389564,0.587372704,0.206493188,-0.0046
20/12/2021,-0.003721219,0,N,0.014999109,-0.205260102,-0.190088792,-0.135681733,-0.13583683,-0.257498401,-0.149731555,0.374522843,0.1640625,0.193111344,-0.341392394,-0.552128334,0.0309
19/12/2021,0.014947098,1,P,-0.031111049,-0.323890525,-0.344955754,-0.092316742,-0.092388286,0.056600042,-0.078909911,-0.08574345,-0.140939597,-0.170144637,-0.039899731,0.302732986,0.0319
18/12/2021,-0.031156535,0,N,-0.025041653,0.241242138,0.210105368,0.028449763,0.028444215,-0.206230049,-0.121397459,0.227467691,0.295652174,0.262388856,-0.024470201,-0.368191003,-0.0322
17/12/2021,-0.02508517,0,N,0.010202863,-0.099073274,-0.089916149,-0.088568959,-0.087573496,0.117493711,-0.122839516,-0.094813982,-0.184397163,-0.174985365,-0.087021218,0.2516603,-0.03
16/12/2021,0.010164117,1,P,0.035037004,-0.007684023,0.010352017,0.010162609,0.012114927,0.060312526,-0.555130105,-0.042042677,-0.047297297,-0.032307331,0.214900479,-0.313717617,0.0193
